phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,123,160000,80006,0.5000375,0.5,0.9780609512636504,0.49758443793652873,0.5024905607044823,0.9857622185964351,0.993914403665873
calibration,feistel_null,16,bit_a019_d019_off+000,124,160000,79906,0.4994125,0.5,0.6401423281915094,0.49695945094575505,0.5018655703450722,0.972968640268904,0.8792440455174448
calibration,feistel_null,16,bit_a019_d019_off+000,125,160000,80122,0.5007625,0.5,0.5435192750851469,0.4983094276415401,0.5032155447256841,0.972968640268904,0.8264979769634546
calibration,feistel_null,16,bit_a019_d019_off+000,126,160000,79855,0.49909375,0.5,0.4699872359062743,0.49664070905443225,0.5015468237878014,0.972968640268904,0.7811084119801313
calibration,feistel_null,16,bit_a019_d019_off+000,127,160000,80039,0.50024375,0.5,0.847350643528831,0.49779068448353764,0.502696806683034,0.972968640268904,0.9575006168324024
calibration,feistel_null,16,bit_a044_d044_off+000,0,160000,80126,0.5007875,0.5,0.53033166601167,0.4983344273784126,0.5032405440828189,0.8963681223944828,0.8203317613231875
calibration,feistel_null,16,bit_a044_d044_off+000,1,160000,79958,0.4997375,0.5,0.8356194734320554,0.49728444370322333,0.5021905658096995,1.0,0.9545675377001615
calibration,feistel_null,16,bit_a044_d044_off+000,2,160000,80119,0.50074375,0.5,0.5535159548077808,0.4982906778429053,0.5031967952038133,0.8963681223944828,0.8333665032197132
calibration,feistel_null,16,bit_a044_d044_off+000,3,160000,80284,0.501775,0.5,0.15633657664999928,0.4993219218839788,0.5042280137905424,0.8861870817400185,0.42606987532718044
calibration,feistel_null,16,bit_a044_d044_off+000,4,160000,80133,0.50083125,0.5,0.5076509588679278,0.49837817693267716,0.5032842929430672,0.8901277086999282,0.8037021983314131
calibration,feistel_null,16,bit_a044_d044_off+000,5,160000,79776,0.4986,0.5,0.2637805377029183,0.496146973580619,0.5010530771549698,0.8861870817400185,0.5858399449272449
calibration,feistel_null,16,bit_a044_d044_off+000,6,160000,79719,0.49824375,0.5,0.16076577972048486,0.4957907355452858,0.5006968281006985,0.8861870817400185,0.43405912752797465
calibration,feistel_null,16,bit_a044_d044_off+000,7,160000,79917,0.49948125,0.5,0.6799731113499348,0.4970281993273596,0.5019343194719879,0.9960987356685801,0.8968988398741948
calibration,feistel_null,16,bit_a044_d044_off+000,8,160000,79921,0.49950625,0.5,0.6946889391033363,0.49705319875033627,0.5019593191430186,0.9960987356685801,0.9030485870537615
calibration,feistel_null,16,bit_a044_d044_off+000,9,160000,79668,0.497925,0.5,0.09741812416513176,0.4954719973047631,0.5003780778926278,0.8723583869215144,0.304816131019846
calibration,feistel_null,16,bit_a044_d044_off+000,10,160000,80070,0.5004375,0.5,0.7282158380377916,0.49798443161955597,0.5028905525255726,0.9960987356685801,0.9190202343489015
calibration,feistel_null,16,bit_a044_d044_off+000,11,160000,79955,0.49971875,0.5,0.8239247590064764,0.49726569409292587,0.5021718160994914,1.0,0.9511111001307287
calibration,feistel_null,16,bit_a044_d044_off+000,12,160000,79985,0.49990625,0.5,0.9422040353623029,0.49745319035093394,0.5023593130465385,1.0,0.9844401049700682
