phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,value_b00_a07_d10,13,160000,159427,0.99641875,0.99609375,0.037121714807022324,0.9961137365255534,0.9967055508492563,0.5452928615849209,0.11819849490793179
calibration,feistel_null,16,value_b00_a07_d10,14,160000,159364,0.996025,0.99609375,0.6592700130091702,0.9957043939896857,0.9963274205498786,0.7869027518340167,0.8483903652664925
calibration,feistel_null,16,value_b00_a07_d10,15,160000,159358,0.9959875,0.99609375,0.49560258495764375,0.9956654505572808,0.9962913664700027,0.7869027518340167,0.7522189431768189
calibration,feistel_null,16,value_b00_a0F_dF0,0,160000,159388,0.996175,0.99609375,0.6163958739378903,0.9958602377309614,0.9964715666939887,0.968026463428358,0.8276084461263982
calibration,feistel_null,16,value_b00_a0F_dF0,1,160000,159358,0.9959875,0.99609375,0.49560258495764375,0.9956654505572808,0.9962913664700027,0.968026463428358,0.7522189431768189
calibration,feistel_null,16,value_b00_a0F_dF0,2,160000,159373,0.99608125,0.99609375,0.9361042439484883,0.9957628221095461,0.9963814886683475,0.968026463428358,0.9810699499896821
calibration,feistel_null,16,value_b00_a0F_dF0,3,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,0.968026463428358,0.9886227711608762
calibration,feistel_null,16,value_b00_a0F_dF0,4,160000,159398,0.9962375,0.99609375,0.3671614830414377,0.995925206758233,0.9965315933707364,0.968026463428358,0.6533364665797594
calibration,feistel_null,16,value_b00_a0F_dF0,5,160000,159389,0.99618125,0.99609375,0.5884764046808989,0.9958667337117855,0.9964775702857988,0.968026463428358,0.8169737505331351
calibration,feistel_null,16,value_b00_a0F_dF0,6,160000,159397,0.99623125,0.99609375,0.3888440252169814,0.9959187089275388,0.9965255916332852,0.968026463428358,0.6774777934814922
calibration,feistel_null,16,value_b00_a0F_dF0,7,160000,159364,0.996025,0.99609375,0.6592700130091702,0.9957043939896857,0.9963274205498786,0.968026463428358,0.8483903652664925
